customer_id,customer_name,customer_region
CUS-00001,Joseph Erickson,West
CUS-00002,Brett Jones,North
CUS-00003,Brett Hudson,East
CUS-00004,Brenda Roberts,East
CUS-00005,James Miller,North
CUS-00006,Jeffrey Castaneda,North
CUS-00007,John Kennedy,East
CUS-00008,Ray Davis,South
CUS-00009,Megan Buckley,South
CUS-00010,Anthony Thomas,West
CUS-00011,Jonathan Nicholson,West
CUS-00012,Crystal Hernandez,South
CUS-00013,Daniel Foster,East
CUS-00014,Hector Daniel,South
CUS-00015,Veronica Wilson,South
CUS-00016,Crystal Macdonald,East
CUS-00017,Sara Walter,North
CUS-00018,Joan Graham,West
CUS-00019,Raymond Vargas,West
CUS-00020,Rebecca Johnson,West
CUS-00021,Angela Garcia,East
CUS-00022,Michael Johnson,West
CUS-00023,Angela Castillo,West
CUS-00024,Patricia Carey,West
CUS-00025,Todd Cox,West
CUS-00026,Cynthia Perez,West
CUS-00027,Melissa Hall,North
CUS-00028,Laura Vaughn,East
CUS-00029,Eric Harris,West
CUS-00030,Michael Roy,North
CUS-00031,Robert Wood,East
CUS-00032,Stephanie Davis,West
CUS-00033,Tammy Spears,South
CUS-00034,Jennifer Flores,East
CUS-00035,Maria Williams,North
CUS-00036,Miss Amanda Clayton,South
CUS-00037,Angela Best,North
CUS-00038,Brett Wilkerson,West
CUS-00039,Haley Fitzgerald,East
CUS-00040,Stephanie Blackburn,North
CUS-00041,Justin Terry,North
CUS-00042,Hannah Little,South
CUS-00043,Miss Samantha Hardy,North
CUS-00044,Jennifer Rios,East
CUS-00045,William Zimmerman,East
CUS-00046,Paul Myers,South
CUS-00047,Deborah Curtis,East
CUS-00048,Michael Knight,North
CUS-00049,Lisa Church,West
CUS-00050,Rachel Robertson,West
CUS-00051,Autumn Nelson,South
CUS-00052,Michael Williams,North
CUS-00053,Rebecca Boyd,East
CUS-00054,Logan Smith,West
CUS-00055,Rachel Smith,East
CUS-00056,Kevin Schmidt,South
CUS-00057,Max Zhang,East
CUS-00058,Blake York,East
CUS-00059,Jordan George,South
CUS-00060,Nathaniel Jackson,East
CUS-00061,Keith Dennis,East
CUS-00062,Carla Parks,East
CUS-00063,Jonathan Murillo,East
CUS-00064,Johnny Carr,South
CUS-00065,Daniel Lee,West
CUS-00066,Brandon Williamson,South
CUS-00067,Tracy Padilla,West
CUS-00068,John Saunders,East
CUS-00069,Jacqueline Miller,North
CUS-00070,Samantha Anderson,South
CUS-00071,Michael York,North
CUS-00072,Philip Miller,North
CUS-00073,Adam King,West
CUS-00074,Kristen Lynch,South
CUS-00075,Andrew Griffith,East
CUS-00076,Sylvia Walker,East
CUS-00077,Eric Harvey,South
CUS-00078,Paige Short,South
CUS-00079,Christopher Patton,West
CUS-00080,Deborah Rivera,West
CUS-00081,Brian Camacho,North
CUS-00082,Amber Moon,East
CUS-00083,Robert Lopez,North
CUS-00084,Randy Martinez,South
CUS-00085,Timothy Williams,South
CUS-00086,Lawrence Curtis,East
CUS-00087,Kyle Johnson,East
CUS-00088,Kimberly Brown,East
CUS-00089,Sandra Martin,North
CUS-00090,Paul Cook,East
CUS-00091,Jessica Mercado,South
CUS-00092,Julie Burns,East
CUS-00093,Katherine Clements,South
CUS-00094,Donna Higgins,West
CUS-00095,Jennifer Kent,South
CUS-00096,Scott Anderson,South
CUS-00097,Kelly Ford,West
CUS-00098,Tyler Payne,East
CUS-00099,Dennis Oneill,West
CUS-00100,Victoria Bennett,West
CUS-00101,Christine Forbes,West
CUS-00102,Gloria Hunt,North
CUS-00103,Ernest Salazar,East
CUS-00104,Javier Young,North
CUS-00105,Adam Vega,South
CUS-00106,Angela Melton,South
CUS-00107,Ricardo Smith,North
CUS-00108,Tyrone Moore,East
CUS-00109,Jonathan Hoffman,East
CUS-00110,Jose Russell,East
CUS-00111,Michelle Wright,South
CUS-00112,Donald Black,North
CUS-00113,Felicia Alvarez,North
CUS-00114,Jason Williams,South
CUS-00115,Isabel Ross,West
CUS-00116,Tiffany Davidson,North
CUS-00117,Michael Anderson,North
CUS-00118,Laura Hill,North
CUS-00119,Patrick Henson,North
CUS-00120,Julia Roberts,North
CUS-00121,Julie Trevino,East
CUS-00122,Bradley Hall,East
CUS-00123,Anthony Harding,North
CUS-00124,Michael Garcia,North
CUS-00125,Sandra Smith,East
CUS-00126,Angela Shelton,South
CUS-00127,Angela Massey,South
CUS-00128,Bradley Sawyer,West
CUS-00129,Lori James,East
CUS-00130,Glen Howard,West
CUS-00131,Melissa Ortiz,West
CUS-00132,Jennifer Sanchez,West
CUS-00133,Deborah Pierce,West
CUS-00134,Samantha Bean,North
CUS-00135,Justin Williamson,North
CUS-00136,Ashley Obrien,North
CUS-00137,Ashley Black,South
CUS-00138,Derrick Stewart,North
CUS-00139,Rebecca Jacobs,South
CUS-00140,Kendra Cain,East
CUS-00141,Charles Carroll,East
CUS-00142,Andrew Jones,East
CUS-00143,Kevin Jackson,East
CUS-00144,Matthew Smith,South
CUS-00145,Rebecca Chavez,East
CUS-00146,Christian Valdez,South
CUS-00147,Gabriela Blackburn,West
CUS-00148,Lauren Torres,North
CUS-00149,Ashlee Russell,North
CUS-00150,Larry Gray,North
CUS-00151,Gina Patton,South
CUS-00152,Amanda Cardenas,East
CUS-00153,Joel Donovan,North
CUS-00154,Margaret Oconnor,North
CUS-00155,Eric Cross,East
CUS-00156,Kyle Smith,North
