customer_id,customer_name,customer_region
CUS-00001,Christina Long,East
CUS-00002,Ashley Woods,North
CUS-00003,Jacob Moore,West
CUS-00004,Danielle Bowman,West
CUS-00005,Spencer Le,East
CUS-00006,Denise Roman,North
CUS-00007,Patrick Hall,North
CUS-00008,Nicole Wilson,North
CUS-00009,Tiffany Robinson,South
CUS-00010,Adam Peterson,South
CUS-00011,Christopher Green,West
CUS-00012,Kimberly Smith,West
CUS-00013,Gregory Vargas,South
CUS-00014,Jeffery Patel,West
CUS-00015,Joe Ellis,North
CUS-00016,Jordan Morris,North
CUS-00017,Tyler Perez,East
CUS-00018,Kent Cook,West
CUS-00019,Jonathan Guzman,West
CUS-00020,Steve West,South
CUS-00021,Gabrielle Brady,North
CUS-00022,Emily Johnson,South
CUS-00023,Pamela Wright,South
CUS-00024,Jeffery Schmidt,North
CUS-00025,Jesse Anderson,South
CUS-00026,Sharon Welch,West
CUS-00027,Sarah Chen,East
CUS-00028,Kathryn Murphy,West
CUS-00029,Stacy Glover,West
CUS-00030,Robin Scott,East
CUS-00031,Julia Diaz,North
CUS-00032,Ralph Flynn,East
CUS-00033,Crystal Hartman,South
CUS-00034,Stacy Hamilton,East
CUS-00035,Paul Daniels,North
CUS-00036,Michael Howard,West
CUS-00037,Richard Martin,East
CUS-00038,Rhonda Cook,North
CUS-00039,Kaitlin Byrd,North
CUS-00040,Timothy Johnson,East
CUS-00041,Justin Mcknight,West
CUS-00042,Donna Cruz DVM,North
CUS-00043,Dr. Tammy Graham MD,South
CUS-00044,Edward French,East
CUS-00045,Brandon Jordan,South
CUS-00046,Melanie Simpson MD,West
CUS-00047,Erica Lowe,South
CUS-00048,Tracy Madden,North
CUS-00049,Pam Chen,South
CUS-00050,Anne Callahan,North
CUS-00051,Gerald Valdez,South
CUS-00052,Tyler Walters,South
CUS-00053,Virginia Alvarez,West
CUS-00054,Scott Rich,West
CUS-00055,Samantha Jensen,West
CUS-00056,Rachel Lozano,South
CUS-00057,Ralph Morris,East
CUS-00058,Michael Colon,North
CUS-00059,Thomas Fox,North
CUS-00060,Joy Phillips,East
CUS-00061,Thomas Diaz,South
CUS-00062,Allison Clark,South
CUS-00063,Joshua Riley,West
CUS-00064,Kenneth George,West
CUS-00065,Tyrone Oneal,East
CUS-00066,Justin Bruce,West
CUS-00067,Cody Campbell,North
CUS-00068,Anthony Hines,North
CUS-00069,Tyler Burns,South
CUS-00070,Daniel Perry,North
CUS-00071,Jacqueline Smith,East
CUS-00072,Monique Lin,West
CUS-00073,Katherine Ward,North
CUS-00074,Kristie Mack,East
CUS-00075,Kristin Lewis,North
CUS-00076,Stephanie Larsen,West
CUS-00077,Stacy Oneal,South
CUS-00078,Anne Summers,West
CUS-00079,Mark Gilbert,West
CUS-00080,Jonathan Davis,North
CUS-00081,Ashley Smith,South
CUS-00082,Gary Boyd,South
CUS-00083,Robert King,West
CUS-00084,Jeffrey Graham,North
CUS-00085,James Rogers,East
CUS-00086,Jeremy Mckee,South
CUS-00087,Eric Valdez,North
CUS-00088,Sonya Costa,North
CUS-00089,James Lewis,West
CUS-00090,Christine Brown,East
CUS-00091,Yolanda Vega,West
CUS-00092,Darrell Gates,East
CUS-00093,Gary Cantu,North
CUS-00094,Lisa Cobb,West
CUS-00095,Mrs. Jennifer Williams,East
CUS-00096,Melanie Harper,North
CUS-00097,Angela Cooper,East
CUS-00098,Francisco Olson MD,North
CUS-00099,Julie Graves,East
CUS-00100,Noah Walters,South
CUS-00101,Terri Shaffer,West
CUS-00102,Adam Pace,South
CUS-00103,Jason Sharp,South
CUS-00104,Marcus Ingram,West
CUS-00105,Jonathan Montgomery,South
CUS-00106,Alexandra Wilson,South
CUS-00107,Katherine Davis,North
CUS-00108,Dean Merritt,East
CUS-00109,Sharon Edwards,East
CUS-00110,Trevor Bridges,North
CUS-00111,Melanie Clark,North
CUS-00112,Charles Robinson,East
CUS-00113,Pamela Clark,North
CUS-00114,James Wright,North
CUS-00115,Kelly Ross,North
CUS-00116,Sara Chang,East
CUS-00117,Bethany Ferguson,North
CUS-00118,Christian Holden,East
CUS-00119,Erika Baker,East
CUS-00120,Rick Lee,North
CUS-00121,Dana Rodriguez,North
CUS-00122,Hunter Lambert,West
CUS-00123,Larry Rollins,West
CUS-00124,Lindsay Medina,South
CUS-00125,Timothy Brown,East
CUS-00126,Jacob Gonzalez,North
CUS-00127,Mark Howard,North
CUS-00128,Kathleen Butler,South
CUS-00129,Sabrina Lucas,South
CUS-00130,Sarah Rice,South
CUS-00131,Scott Campbell,North
CUS-00132,Zachary Jones,South
CUS-00133,Ray Ferguson,South
CUS-00134,Kenneth Harris,East
CUS-00135,Briana Baker,East
CUS-00136,Christopher Brown,North
CUS-00137,Michael Tanner,West
CUS-00138,Janet Sanders,North
CUS-00139,Miranda Wilkins,East
CUS-00140,Crystal Little,West
CUS-00141,Kenneth Aguirre,West
CUS-00142,Scott Ramsey,North
CUS-00143,Elaine Gomez,North
CUS-00144,Erin Mitchell,North
CUS-00145,Robert Smith,South
CUS-00146,Nathan Wilson,West
CUS-00147,Christine Rodriguez,South
CUS-00148,Eric Johnson,West
CUS-00149,Melissa Howard,South
CUS-00150,Colleen Atkins,East
CUS-00151,Johnny Anthony PhD,West
CUS-00152,Bianca Thornton,North
CUS-00153,Robert Morrison,East
CUS-00154,April Rowe,East
CUS-00155,Darren Rodriguez,West
CUS-00156,Karen Potter,North
